link,listing_title,listing_mileage,primary_price,deal_gauge,exterior_color,interior_color,drivetrain,mpg,fuel_type,transmission,engine,vin,stock_number,vehicle_history,seller_name,price_history
https://www.cars.com/vehicledetail/baa1e668-91ee-4060-9b28-03a27d1002d3/,2013 Toyota Tacoma Base,"78,831 mi.","$24,990",,–,–,Four-wheel Drive,16–21,Gasoline,Automatic,"4L V-6 DOHC, VVT-i variable valve control, regular unleaded, eng",3TMLU4EN9DM107919,36322,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes', 'Open recall': 'At least 1 open recall reported'}",King Auto,"[('9/13/23', 'Listed', '$25,900'), ('9/21/23', '-$910', '$24,990')]"
https://www.cars.com/vehicledetail/c0decaed-bb1b-4b7e-8f06-7c6c4a247bd6/,2016 Land Rover Range Rover Sport Supercharged HSE,"60,716 mi.","$26,990","Great Deal $1,616 under",Corris Grey,Ebony / Cirrus,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALWR2PF6GA599232,6328,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes', 'Open recall': 'At least 1 open recall reported'}",Cherry Creek Automotive,"[('9/13/23', 'Listed', '$30,790'), ('9/28/23', '-$800', '$29,990'), ('10/06/23', '-$1,000', '$28,990'), ('10/10/23', '-$2,000', '$26,990')]"
https://www.cars.com/vehicledetail/f2c20f98-fb77-46c9-b373-058056b688d8/,2023 RAM ProMaster 1500 Base,"3,613 mi.","$50,899","Great Deal $2,317 under",Gray,Black,Front-wheel Drive,–,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,3C6LRVBG5PE534789,D6722,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Springs Automotive Group,"[('9/20/23', 'Listed', '$54,299'), ('9/22/23', '-$600', '$53,699'), ('9/26/23', '+$1,300', '$54,999'), ('10/02/23', '-$900', '$54,099'), ('10/04/23', '-$300', '$53,799'), ('10/11/23', '-$2,800', '$50,999'), ('10/13/23', '+$1,600', '$52,599'), ('10/14/23', '-$100', '$52,499'), ('10/16/23', '-$300', '$52,199'), ('10/27/23', '-$900', '$51,299'), ('10/28/23', '-$200', '$51,099'), ('10/30/23', '-$100', '$50,999'), ('10/31/23', '-$200', '$50,799'), ('11/03/23', '+$800', '$51,599'), ('11/08/23', '-$300', '$51,299'), ('11/09/23', '-$200', '$51,099'), ('11/10/23', '-$200', '$50,899')]"
https://www.cars.com/vehicledetail/6cea5afc-70a7-4cca-ad16-501b2bbe6b77/,2020 Ford Transit-250 Base,"40,996 mi.","$38,399",Good Deal -$456 under,White,–,Rear-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC,1FTBR1C87LKA29316,D6719,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Springs Automotive Group,"[('9/14/23', 'Listed', '$43,599'), ('9/19/23', '-$200', '$43,399'), ('9/20/23', '-$1,800', '$41,599'), ('9/28/23', '-$200', '$41,399'), ('10/02/23', '-$300', '$41,099'), ('10/11/23', '-$800', '$40,299'), ('10/13/23', '-$100', '$40,199'), ('10/14/23', '-$400', '$39,799'), ('10/16/23', '-$100', '$39,699'), ('10/23/23', '-$100', '$39,599'), ('10/28/23', '-$300', '$39,299'), ('10/31/23', '-$600', '$38,699'), ('11/09/23', '+$300', '$38,999'), ('11/10/23', '-$600', '$38,399')]"
https://www.cars.com/vehicledetail/956c7bef-aa95-4b9d-b943-1b9d710ccb42/,2023 Acura RDX w/A-Spec Package,"3,959 mi.","$47,798",This is a good deal.,Platinum White Pearl,Black,All-wheel Drive,21–26,Gasoline,Automatic,2.0L 16V DOHC,5J8TC2H65PL008579,51AD552X,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$48,998'), ('10/04/23', '-$400', '$48,598'), ('10/20/23', '-$800', '$47,798')]"
https://www.cars.com/vehicledetail/b3fdfb1b-3e77-4e65-9eb3-557b3873bd36/,2023 Acura Integra w/A-Spec Tech Package,"3,574 mi.","$33,998",This is a fair deal. Why?,Apex Blue Pearl,Orchid,Front-wheel Drive,29–36,Gasoline,Variable,1.5L I4 DOHC 16V,19UDE4H63PA024351,51AD557X,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$34,998'), ('10/04/23', '-$400', '$34,598'), ('10/20/23', '-$600', '$33,998')]"
https://www.cars.com/vehicledetail/ffba650c-5304-4579-97dd-754b1d018dae/,2018 Ford Expedition Limited,"98,996 mi.","$32,598",This is a good deal.,Ingot Silver Metallic,Ebony,Four-wheel Drive,17–22,Gasoline,Automatic,EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged,1FMJU2AT7JEA63920,51AD745T,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$34,998'), ('9/15/23', '-$400', '$34,598'), ('10/04/23', '-$800', '$33,798'), ('10/13/23', '-$1,000', '$32,798'), ('10/20/23', '-$200', '$32,598')]"
https://www.cars.com/vehicledetail/17bfab99-33e1-403e-ab52-2024f5ef250e/,2022 Dodge Challenger GT,"33,409 mi.","$29,998",Good Deal $68 under,Pitch Black Clearcoat,Black,Rear-wheel Drive,19–30,Gasoline,Automatic,3.6L V6 24V VVT,2C3CDZJG1NH164558,14CJ329P,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'No'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$32,998'), ('9/15/23', '-$1,000', '$31,998'), ('10/04/23', '-$500', '$31,498'), ('10/07/23', '-$500', '$30,998'), ('10/13/23', '-$400', '$30,598'), ('10/20/23', '-$600', '$29,998')]"
https://www.cars.com/vehicledetail/38ae5e3f-3e90-4f66-b8ac-deb9db624c1b/,2023 Acura TLX Tech,"2,118 mi.","$40,998",,Performance Red Pearl,Ebony,Front-wheel Drive,22–31,Gasoline,Automatic,2.0L DOHC,19UUB5F44PA004092,51AD577X,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$41,998'), ('10/04/23', '-$400', '$41,598'), ('10/20/23', '-$600', '$40,998')]"
https://www.cars.com/vehicledetail/cfcc8fd6-b063-42c9-b486-8de56161ca28/,2019 Jaguar F-PACE 30t R-Sport,"34,370 mi.","$34,598",This is a fair deal. Why?,Yulong White Metallic,Ebony,All-wheel Drive,22–27,Gasoline,Automatic,2.0L I4 Turbocharged,SADCL2GX8KA397073,14BU055P,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Walser Auto Campus Home Delivery,"[('9/13/23', 'Listed', '$59,598'), ('9/15/23', '-$20,600', '$38,998'), ('10/06/23', '-$1,500', '$37,498'), ('10/13/23', '-$1,500', '$35,998'), ('10/20/23', '-$1,000', '$34,998'), ('11/10/23', '-$400', '$34,598')]"
