link,listing_title,listing_mileage,primary_price,deal_gauge,exterior_color,interior_color,drivetrain,mpg,fuel_type,transmission,engine,vin,stock_number,vehicle_history,seller_name,price_history,Cylinders,Liters,Boosted
https://www.cars.com/vehicledetail/1d8a17d6-2c24-4700-8e7c-488a18ab1c43/,2020 Chevrolet Malibu LT,"69,601 mi.","$18,237",Good Deal -$340 under,Silver Ice Metallic,Jet Black,Front-wheel Drive,29-36,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1G1ZD5ST3LF030314,R30381,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Arapahoe KIA,"[('10/10/23', 'Listed', '$19,100'), ('10/19/23', '-$175', '$18,925'), ('11/10/23', '-$688', '$18,237')]",4,1.5,True
https://www.cars.com/vehicledetail/983feaae-6225-4e16-bf2d-7ddb38e79619/,2022 Ford Explorer XLT,"44,433 mi.","$32,099",This is a good deal.,Blue,-,Four-wheel Drive,20-27,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8DH5NGA45771,D6500A,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Springs Automotive Group,"[('8/31/23', 'Listed', '$36,899'), ('9/08/23', '-$700', '$36,199'), ('9/12/23', '+$2,100', '$38,299'), ('9/15/23', '+$700', '$38,999'), ('9/16/23', '-$700', '$38,299'), ('9/19/23', '-$900', '$37,399'), ('9/23/23', '-$600', '$36,799'), ('9/26/23', '-$500', '$36,299'), ('9/28/23', '-$700', '$35,599'), ('10/02/23', '-$200', '$35,399'), ('10/04/23', '-$100', '$35,299'), ('10/06/23', '-$100', '$35,199'), ('10/09/23', '-$300', '$34,899'), ('10/11/23', '-$1,000', '$33,899'), ('10/13/23', '-$700', '$33,199'), ('10/16/23', '-$100', '$33,099'), ('10/27/23', '-$500', '$32,599'), ('11/01/23', '-$100', '$32,499'), ('11/03/23', '-$400', '$32,099')]",4,2.3,True
https://www.cars.com/vehicledetail/28d3d8a9-2e08-43a2-9714-8c0231dbdd12/,2020 Hyundai Palisade Limited,"36,109 mi.","$37,487",This is a good deal.,Moonlight Cloud,Black,All-wheel Drive,19-24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,KM8R5DHE7LU112366,LU112366,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Peak Kia,"[('9/12/23', 'Listed', '$40,687'), ('9/24/23', '-$1,000', '$39,687'), ('10/09/23', '-$600', '$39,087'), ('10/18/23', '-$400', '$38,687'), ('10/23/23', '-$1,000', '$37,687'), ('11/03/23', '-$200', '$37,487')]",6,3.8,False
https://www.cars.com/vehicledetail/ab256cab-f8a4-49d4-a90b-cf6ff040a03a/,2018 GMC Canyon SLT,"54,340 mi.","$31,999",This is a good deal.,Summit White,Jet Black,Four-wheel Drive,17-24,Gasoline,Automatic,3.6L V6 24V GDI DOHC,1GTG6DEN4J1174111,E30963A,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Phil Long Ford of Denver,"[('9/23/23', 'Listed', '$32,491'), ('10/04/23', '-$497', '$31,994'), ('10/10/23', '-$702', '$31,292'), ('10/29/23', '-$398', '$30,894'), ('11/04/23', '+$1,105', '$31,999')]",6,3.6,False
https://www.cars.com/vehicledetail/b3578dbc-b888-42a5-b867-7fc37ddc9cf3/,2023 Porsche Cayenne Platinum Edition,"3,127 mi.","$92,981",This is a fair deal. Why?,Moonlight Blue Metallic,Graphite Blue,All-wheel Drive,19-23,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WP1AA2AY6PDA06002,G1268A,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Mike Ward Maserati,[],6,3.0,True
https://www.cars.com/vehicledetail/1d6e638e-7ac8-4f6a-beb0-bcfa7bbd166b/,2014 Toyota Camry LE,"93,471 mi.","$15,999",This is a fair deal. Why?,Red,Gray,Front-wheel Drive,25-35,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,4T4BF1FK8ER402551,402551,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Unlimited Auto Sales,"[('8/29/23', 'Listed', '$17,999'), ('10/18/23', '-$2,000', '$15,999')]",4,2.5,False
https://www.cars.com/vehicledetail/49871cff-ea4f-48db-8dfa-cb8d6990d95b/,2010 Jeep Wrangler Unlimited Rubicon,"100,640 mi.","$19,000",Great Deal $415 under,Red,Dark Slate Gray / Medium Slate Gray,Four-wheel Drive,15-19,Gasoline,4-Speed Automatic,3.8L V6 12V MPFI OHV,1J4HA6H11AL109724,5366,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}","Auto Brokers of Colorado, LLC","[('8/29/23', 'Listed', '$20,000'), ('8/30/23', '+$500', '$20,500'), ('9/22/23', '-$1,000', '$19,500'), ('11/02/23', '-$500', '$19,000')]",6,3.8,False
https://www.cars.com/vehicledetail/19b6f1e8-b4e7-484b-837a-ccf4d0fbbba4/,2021 Jeep Wrangler Unlimited Sport,"59,216 mi.","$29,500","Great Deal $2,068 under",Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,17-23,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXDN6MW616500,DCJS210010,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'No'}",Larry H. Miller Colorado Jeep,"[('8/31/23', 'Listed', '$36,000'), ('9/13/23', '-$1,000', '$35,000'), ('9/21/23', '-$500', '$34,500'), ('9/28/23', '-$500', '$34,000'), ('10/04/23', '-$500', '$33,500'), ('10/18/23', '-$500', '$33,000'), ('10/28/23', '-$3,000', '$30,000'), ('11/01/23', '+$100', '$30,100'), ('11/08/23', '-$600', '$29,500')]",4,2.0,True
https://www.cars.com/vehicledetail/5d595181-c744-47b5-96b5-e4e34727807b/,2019 BMW X5 xDrive40i,"48,865 mi.","$39,961",This is a good deal.,Black Sapphire Metallic,Black,All-wheel Drive,20-26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C55KLL06298,B240291A,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Schomp BMW,"[('8/30/23', 'Listed', '$46,555'), ('8/31/23', '-$4,641', '$41,914'), ('9/22/23', '-$453', '$41,461'), ('9/29/23', '-$700', '$40,761'), ('10/12/23', '-$800', '$39,961')]",6,3.0,True
https://www.cars.com/vehicledetail/a70659de-7c65-4448-afb1-2ebf9779e405/,2022 Chevrolet Silverado 1500 LT,"16,649 mi.","$52,580",This is a good deal.,Summit White,Black,Four-wheel Drive,-,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,2GCUDDED8N1502209,T4074A,"{'Accidents or damage': 'None reported', 'Clean title': 'Yes', '1-owner vehicle': 'Yes', 'Personal use only': 'Yes'}",Len Lyall Chevrolet,[],8,5.3,False
